iter	Logloss
0	0.6431728118
1	0.6002150276
2	0.5622328492
3	0.5294309164
4	0.5008378623
5	0.4755238857
6	0.453582681
7	0.4348035117
8	0.4182342018
9	0.4038913718
10	0.39129749
11	0.380829009
12	0.3711550775
13	0.3633217312
14	0.355740763
15	0.3492228068
16	0.344019647
17	0.3388506205
18	0.3342360754
19	0.33064499
20	0.3269794848
21	0.3238787164
22	0.321082377
23	0.3185693042
24	0.3164255578
25	0.3144159587
26	0.3126602446
27	0.3111914998
28	0.3097713783
29	0.308601428
30	0.307555757
31	0.3065538902
32	0.3056118022
33	0.3047916956
34	0.3040399205
35	0.3034436219
36	0.3028597392
37	0.3023219889
38	0.3018381099
39	0.3014116538
40	0.301089844
41	0.3007638505
42	0.3004324951
43	0.3001808648
44	0.2999433332
45	0.2997024125
46	0.2994816414
47	0.2992856131
48	0.2991188863
49	0.2989769795
50	0.2988442565
51	0.2987163634
52	0.2986134502
53	0.2985066776
54	0.2983953918
55	0.2982983243
56	0.298214162
57	0.2981379686
58	0.2980693418
59	0.2980122465
60	0.2979519563
61	0.2979083574
62	0.2978588097
63	0.2978210377
64	0.2977742847
65	0.2977390582
66	0.2977122007
67	0.297678479
68	0.2976468595
69	0.2976167744
70	0.2975945895
71	0.2975705829
72	0.2975431617
73	0.2975249325
74	0.2975086239
75	0.2974935382
76	0.297473712
77	0.2974533048
78	0.2974384909
79	0.2974275279
80	0.2974108305
81	0.2973973434
82	0.2973848633
83	0.2973723032
84	0.2973590753
85	0.2973450784
86	0.2973307292
87	0.2973231744
88	0.2973105274
89	0.2973036203
90	0.2972944114
91	0.2972869145
92	0.2972790778
93	0.297273081
94	0.2972650449
95	0.2972588965
96	0.2972532049
97	0.297239801
98	0.2972302991
99	0.2972231174
100	0.2972119271
101	0.2972048943
102	0.2971989593
103	0.2971952885
104	0.2971910056
105	0.2971879572
106	0.2971840474
107	0.2971781516
108	0.2971749404
109	0.2971709347
110	0.29716605
111	0.2971612203
112	0.2971591416
113	0.2971558823
114	0.297150198
115	0.2971455132
116	0.297140788
117	0.2971352385
118	0.2971295237
119	0.2971253002
120	0.2971212986
121	0.2971120481
122	0.2971064794
123	0.2971015083
124	0.2970974373
125	0.2970924126
126	0.297086066
127	0.2970812413
128	0.2970777436
129	0.2970744374
130	0.2970712763
131	0.2970677853
132	0.297064239
133	0.2970584413
134	0.2970564798
135	0.2970527238
136	0.2970448417
137	0.2970419933
138	0.2970385255
139	0.2970318113
140	0.2970277574
141	0.2970203987
142	0.2970170506
143	0.2970142606
144	0.2970096292
145	0.2970021842
146	0.2970000835
147	0.2969963445
148	0.2969923962
149	0.2969863804
150	0.2969823433
151	0.2969813841
152	0.2969739614
153	0.296971868
154	0.2969688769
155	0.2969666
156	0.2969646604
157	0.2969586145
158	0.2969567419
159	0.2969522561
160	0.2969486925
161	0.2969456146
162	0.2969425582
163	0.2969401793
164	0.2969340427
165	0.2969290155
166	0.2969278855
167	0.2969248955
168	0.2969236391
169	0.296918756
170	0.2969153269
171	0.2969137019
172	0.296910254
173	0.2969081311
174	0.2969060936
175	0.2969043743
176	0.296900422
177	0.2968990561
178	0.2968955786
179	0.2968936291
180	0.2968911637
181	0.2968892087
182	0.2968863567
183	0.2968840289
184	0.29688088
185	0.296878714
186	0.2968739387
187	0.2968695413
188	0.2968675258
189	0.2968649196
190	0.2968594881
191	0.2968553724
192	0.2968541841
193	0.296851881
194	0.2968489853
195	0.2968442516
196	0.2968435242
197	0.2968417207
198	0.2968360491
199	0.2968322992
